Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2022-23,2023-05-22,55feb06f-61fd-4309-bdd3-ea072b788086,"JOB12791 THOMAS HODGKINS - 15-17 VOYAGER DRIVE, KARALEE Job Name: Siemsen - Hodgkins - Karalee - 184297",399.45,Truck Hire,Equipment Hire,95,Section 8-1,399.45,Yes,No,90,The transaction relates to truck hire. There is no indication that this activity involves experimental activities or generates new knowledge. Therefor,No,No,Yes,
FY2022-23,2023-05-22,4540b084-a5f1-4fc0-b9ce-44da4d039dd2,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Toll payments are for transportation and do not inherently involve R&D activities.,No,No,Yes,"Ensure adequate documentation (receipts) is retained to support the deduction.; Determine if any private use component exists. If so, the claimable amount should be reduced accordingly."
FY2024-25,2024-10-21,933ececa-e475-49eb-98b7-110251afa375,Starter Richmond,44.65,??,Unknown,50,Section 8-1,44.65,Yes,No,60,Insufficient information to determine R&D eligibility. The description '??' provides no details about the nature of the expense.,No,No,Yes,Requires receipt to verify the nature of the expense.; The description '??' needs clarification to determine if it is an allowable deduction.
FY2022-23,2023-05-22,13b6bd54-9f18-4531-96ea-b01db6fd716f,Beach Cafe Seaford,65.5,Phill,Travel,75,Section 8-1,0,No,No,90,The transaction relates to a cafe meal. There is no indication of R&D activity. It is highly unlikely to meet the R&D criteria.,YES - REVIEW,No,Yes,"Need to determine if this is entertainment. If so, only 50% deductible. If it is a legitimate business travel expense, it may be fully deductible. FBT may apply if provided to an employee."
FY2022-23,2023-05-23,bb0077ca-deea-4d52-b1cf-683d2b7b3830,,26500,Bank Transfer to Westpac Tax Account.,Tax Payment,95,Section 8-1,26500,Yes,No,95,Payment of tax is not an R&D activity.,No,No,Yes,"Confirm the type of tax being paid (GST, PAYG, Income Tax).; Ensure payment matches tax liability."
FY2022-23,2023-05-23,f5666fba-7b1b-4736-a048-d9bd28c0f771,,7500,Bank Transfer to Westpac Everyday Credit Cards.,Financial Services,90,Section 8-1,7500,Yes,No,95,The transaction description 'Bank Transfer to Westpac Everyday Credit Cards' does not suggest any R&D activity. It appears to be a payment towards cre,No,No,Yes,Need to determine the nature of expenses charged to the credit cards to assess deductibility. Obtain credit card statements.; Ensure expenses are business-related and not personal.
FY2022-23,2023-04-27,121d1fcc-04ea-487a-ab27-f8947b9bf208,Active Hire,491.73,"JOB14368 EAGER GROUP - 1442 GYMPIE ROAD, ASPLEY Job Name: Private - Eager Group - Aspley",Labour Hire,95,Section 8-1,491.73,Yes,No,80,The transaction relates to labour hire for a private job. There is no indication of R&D activity based on the provided information.,No,No,Yes,
FY2022-23,2023-05-04,45a7287e-cb7d-4ed7-b7c4-b53910f41ba6,Kedron-Wavell Services Club,16.3,Meeting,Meetings & Events,95,Section 8-1,16.3,Yes,No,90,"The transaction description 'Meeting' is too vague to determine if it qualifies as R&D. There is no indication of systematic investigation, generation",No,No,Yes,"Ensure adequate documentation (receipt) is retained.; Determine the purpose of the meeting to confirm deductibility. If entertainment was provided, further scrutiny is required to determine the deduct"
FY2022-23,2023-02-22,485de82d-9370-449e-a278-53d576d458e6,Australia Post - Forest Lake,153,PO Box renewal,Administration,95,Section 8-1,153,Yes,No,95,PO Box renewal is a standard administrative task and does not involve R&D activities.,No,No,Yes,Retain receipt as proof of expense.
FY2022-23,2023-02-03,2600e5b6-f6cd-4b3d-9e72-46364361e335,Coca Cola,3.71,,Consumables,90,Section 8-1,3.71,Yes,No,95,Purchase of Coca Cola does not suggest any R&D activity. It is a standard consumable item.,No,No,Yes,
FY2022-23,2023-06-27,f62e8d80-fdd0-4ec1-99ba-66dc3ddce8c7,Angle Finance,184.32,Monthly phone system rental,Telecommunications,95,Section 8-1,184.32,Yes,No,90,Monthly phone system rental is unlikely to meet the R&D criteria as it is a standard business expense and does not involve experimental activities.,No,No,Yes,
FY2022-23,2023-05-19,059f8f82-8d1b-4a38-be10-71212c39eae8,MTA Travel,3786.76,Reciept 1420814,Travel,95,Section 8-1,3786.76,Yes,No,90,The transaction relates to travel and processing fees. There is no indication that this relates to R&D activities.,No,No,Yes,Ensure travel is directly related to business activities and not for private purposes.; Keep all receipts and documentation related to the travel.
FY2022-23,2023-05-23,3efa4ab4-a981-4795-91e3-3504d602abf9,National Storage,454,"JOB14170 SANDRA CONNOR - 13 KEVIN GROVE, CABOOLTURE SOUTH Job Name: Helio - Connor - Caboolture Sout",Rent,95,Section 8-1,454,Yes,No,90,The transaction relates to storage rental. There is no indication of R&D activity based on the provided information.,No,No,Yes,Ensure the storage is used for business purposes. Maintain proper documentation (invoice) to support the deduction.
FY2022-23,2023-05-09,db22a8b7-d040-4f32-91d4-95a6a0bc7954,Brisbane Fork Truck Service,60.5,"JOB14368 EAGER GROUP - 1442 GYMPIE ROAD, ASPLEY Job Name: Private - Eager Group - Aspley",Repairs & Maintenance,95,Section 8-1,60.5,Yes,No,90,"The transaction relates to forklift servicing, which is unlikely to meet the criteria for R&D. There is no indication of experimental activities or ge",No,No,Yes,
FY2022-23,2023-05-22,10be9a2e-b5d8-4017-9031-22250dc62253,Bank fee,0.88,Bank charges,Financial Services,95,Section 8-1,0.88,Yes,No,95,Bank charges are a standard business expense and do not relate to R&D activities.,No,No,Yes,Retain bank statement as supporting documentation.
FY2022-23,2023-05-08,b8d453cc-13d8-4723-b9f5-dd14ff2de4e0,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Toll payments are for transportation and do not involve R&D activities.,No,No,Yes,Ensure adequate documentation (receipt) is retained to support the deduction.
FY2022-23,2023-05-08,c129f71f-0385-45e3-a25d-4cad240ef483,Jim's Bookkeeping Maryborough,48.75,Monthly Bookeeping,Professional Services,95,Section 8-1,48.75,Yes,No,90,Monthly bookkeeping services are unlikely to meet the criteria for R&D activities as they are routine and do not generate new knowledge.,No,No,Yes,
FY2022-23,2023-05-10,7b61a752-d38d-4664-a60e-a7d03b7d501f,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Tolls are a standard business expense and do not meet the criteria for R&D activities.,No,No,Yes,"Ensure adequate documentation (receipt) is retained to support the deduction.; Determine if any private use component exists. If so, only the business portion is deductible."
FY2022-23,2023-05-11,b90fc0ad-fda7-49fc-9739-27a93f2213c9,Wages,14252.83,W/E 10/05/2023,Wages,95,Section 8-1,14252.83,Yes,No,80,"The transaction description 'Wages - W/E 10/05/2023' does not provide any information to suggest that the wages relate to R&D activities. Therefore, i",No,No,Yes,Requires payroll records and employee contracts to substantiate the wage expense.; Ensure wages are reasonable and at market rates.
FY2022-23,2023-05-09,9cf566bf-65ef-4063-bda4-2e883a4aa1b3,Caltex,27.85,Aerogard & Mortein,Supplies,95,Section 8-1,27.85,Yes,No,90,Purchase of standard pest control and insect repellent products does not suggest R&D activity. No indication of experimentation or seeking new knowled,No,No,Yes,Ensure receipt is retained as proof of purchase.
FY2023-24,2023-07-24,bfcc8cef-9923-49f9-9e92-1dee79ba43e7,National Storage,377,"JOB14401 JENNIFER ANNE BROWN - 11 NEWMAN RD, WAVELL HEIGHTS Job Name: FEN - Brown - Wavell Heights -",Storage,95,Section 8-1,377,Yes,No,90,The transaction relates to storage rental. There is no indication of R&D activities based on the provided information.,No,No,Yes,
FY2022-23,2023-01-30,04172158-bd29-42e5-964f-c8ce16f802c5,Zoom,230.89,Zoom upgrade 12 month subscription,Software,95,Section 8-1,230.89,Yes,No,90,The transaction is for a Zoom upgrade subscription. This is a standard software purchase and does not appear to involve any R&D activities. There is n,No,No,Yes,Keep invoice as proof of purchase.
FY2022-23,2023-02-24,04164f8b-9cb4-418c-a0ac-ce6d02fec0b3,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,90,Toll payments are for routine travel and do not involve R&D activities.,No,No,Yes,Ensure travel is for business purposes.; Receipt from Linkt should be retained as evidence.
FY2022-23,2023-05-17,3f4527f3-698b-4b20-bc69-aeb3df355ece,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Tolls are a standard business expense and do not relate to R&D activities.,No,No,Yes,Ensure adequate documentation (receipt) is retained to support the deduction.; Confirm the tolls relate to business travel.
FY2022-23,2023-05-12,730fd50c-4c35-4728-8cd2-2f59ee4554f6,National Storage,619,"JOB12620 BELINDA GREINKE - 37 BRATCHFORD CRESCENT, CABOOLTURE
Job Name: FEN - Greinke - Caboolture -",Storage,95,Section 8-1,619,Yes,No,90,The transaction relates to storage rental. There is no indication of R&D activity based on the provided information.,No,No,Yes,Ensure invoice/receipt is retained as evidence of the expense.; Confirm the storage is used wholly and exclusively for business purposes.
FY2022-23,2023-05-15,16f93207-6b3c-4183-b05f-b11db81d4cbe,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,95,Toll payments are for transportation and do not inherently involve R&D activities.,No,No,Yes,"Ensure adequate documentation (receipts) is retained to support the deduction.; Deductibility depends on the purpose of the travel. If for private purposes, the deduction may be limited."
FY2022-23,2023-04-28,1a787b53-d0a3-45e1-aa56-40d6676f0c1e,EFleet,12.21,,Transportation,70,Section 8-1,12.21,Yes,No,60,The transaction description 'from EFleet' does not provide sufficient information to assess R&D eligibility. There is no indication of experimental ac,No,No,Yes,"Requires receipt from EFleet to substantiate the expense.; Determine if any private use component exists. If so, the deductible amount should be adjusted accordingly."
FY2022-23,2023-05-19,fb250cae-51ea-4d88-a0aa-8d5dcf7478e5,Carpet Cleaners Warehouse,327.68,REPLACEMENT GLIDE FOR EVO,Hardware,85,Section 8-1,327.68,Yes,No,90,The purchase of a replacement glide for equipment does not suggest R&D activity. It appears to be a standard repair or maintenance expense.,No,No,Yes,Keep invoice as proof of purchase.
FY2022-23,2023-05-15,71db8f5f-384d-400d-9dd7-96830ee07b53,,11000,Bank Transfer to Westpac Tax Account.,Tax Payment,95,Section 8-1,11000,Yes,No,95,The transaction is a bank transfer to a tax account. There is no indication of R&D activity.,No,No,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax) to ensure correct allocation.; Obtain supporting documentation (e.g., payment advice from ATO)."
FY2022-23,2023-04-26,d4f1660a-5466-4eb0-8360-dd2a94f716fd,RSea Pty Ltd,185.82,"JOB14368 EAGER GROUP - 1442 GYMPIE ROAD, ASPLEY Job Name: Private - Eager Group - Aspley",Professional Services,70,Section 8-1,185.82,Yes,No,60,"The transaction description lacks details to suggest R&D activities. It appears to be related to a job at a specific location, which is insufficient t",No,No,Yes,
FY2022-23,2023-05-17,252d4748-6641-4aba-868e-989be22f30d2,Taxibox,572,"JOB13188 DEBORAH PONTING - 146 QUINNS HILL ROAD WEST, STAPYLTON Job Name: FEN - Ponting - Stapylton ",Storage,90,Section 8-1,572,Yes,No,90,The transaction relates to storage provided by Taxibox. There is no indication that this activity involves R&D as defined by Division 355 of the ITAA ,No,No,Yes,
FY2022-23,2023-05-16,6838d1f4-35a0-403a-aeda-d096bd4f1ad9,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,90,Toll expenses are generally not considered R&D activities as they are related to transportation and do not involve generating new knowledge or systema,No,No,Yes,Ensure adequate documentation (receipts) is retained to support the deduction.; Confirm the expense was incurred for business purposes.
FY2022-23,2023-02-24,a637034a-cb53-486a-8fc8-e776ad425716,Y.P,780,,Uncategorized,50,Section 8-1,780,Yes,No,50,Insufficient information to determine R&D eligibility. The description 'from Y.P' is too vague.,No,No,Yes,"Requires detailed invoice or description to determine deductibility and GST treatment.; Verify if Y.P. is an employee, contractor, or related party."
FY2022-23,2023-06-27,de30a7f3-0617-4580-a7f8-6a52102b79a6,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,90,Toll payments are for transportation and do not involve R&D activities.,No,No,Yes,Receipt from Linkt should be retained as documentation.; Ensure the tolls relate to business travel.
FY2022-23,2023-05-23,fdac37e0-aa80-48c7-86f9-695ab49f5f0e,,26500,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,0,No,No,50,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,Requires detailed invoice or receipt to determine the nature of the expense and its deductibility.; Need to determine if the expense is capital or revenue in nature.
FY2022-23,2023-05-18,3b28d08a-0182-4d75-8c04-5a1c5c2b7c01,Wages,14243.65,W/E 22.02.23,Wages,95,Section 8-1,14243.65,Yes,No,90,Wages alone do not indicate R&D activity. Further information about the employee's role and activities is required to assess R&D eligibility.,No,No,Yes,Requires payroll records and employee contracts to support the wage expense.; Ensure wages are reasonable and at arm's length.
FY2022-23,2023-05-18,3a7ac89a-9deb-44b3-9615-7ac5ca3c5f05,Linkt,100,Tolls,Travel,95,Section 8-1,100,Yes,No,90,Toll payments are for transportation and do not inherently involve R&D activities.,No,No,Yes,"Ensure adequate documentation (receipts) is retained to support the deduction.; Determine if any private use component exists. If so, only the business portion is deductible."
FY2022-23,2023-05-31,381eecfa-6d32-4a7e-b742-ab36b26622b6,Westpac Bank,239.6,Interest received,Financial Income,95,Section 8-1,0,No,No,95,Interest received is a financial transaction and does not involve R&D activities.,No,No,Yes,Confirm correct allocation of interest income.; Requires documentation to support the interest received.
FY2022-23,2023-05-30,92c92ad3-eb70-41cf-985e-967158af8b1e,,8000,Bank Transfer from Westpac Everyday Banking.,Unknown,50,Section 8-1,0,No,No,50,Insufficient information to determine R&D eligibility. The description 'Bank Transfer from Westpac Everyday Banking' provides no details about the nat,No,No,Yes,Requires further investigation to determine the nature of the expense and its deductibility. Need to obtain invoice or supporting documentation.
FY2022-23,2023-05-24,41e729f6-ce0e-4478-b210-d23ade7483ed,Port City Bowling Club,10,Drinks,Entertainment,95,Section 8-1,0,No,No,95,"The transaction relates to drinks purchased at a bowling club, which does not suggest any R&D activity.",YES - REVIEW,No,Yes,Entertainment expenses require scrutiny to determine deductibility. May be subject to FBT if provided to employees.
FY2023-24,2023-11-17,3838c680-f6e1-4392-84a5-30d576d135b3,Australian Taxation Office,19000,Oct 2023 PAYG,PAYG,95,Section 8-1,19000,Yes,No,95,PAYG payments to the ATO are not related to R&D activities.,No,No,Yes,Ensure PAYG remittance advice is retained as documentation.; Verify the accuracy of the PAYG amount.
FY2022-23,2023-06-20,cad4248c-69ba-4a37-aeb8-a3b7c3cae61f,Diamond Digital,94.95,Accessories,Hardware,85,Section 8-1,94.95,Yes,No,70,"The purchase of 'Accessories' from 'Diamond Digital' does not inherently suggest R&D activity. There is no indication of experimental activities, gene",No,No,Yes,"Ensure the accessories are used wholly and exclusively for business purposes. If there is any private use, the deductible amount needs to be adjusted accordingly."
FY2023-24,2023-08-28,6ea31c1b-8a30-4acf-bf95-495438e64abe,Tartan Group,4197.6,Administration Labour,Professional Services,95,Section 8-1,4197.6,Yes,No,90,The transaction relates to administration labour and transportation of storage containers. There is no indication of R&D activities based on the provi,No,No,Yes,"Ensure proper documentation (invoices, receipts) is retained to support the deduction.; Confirm that the expenses are wholly and exclusively incurred for the purpose of producing assessable income."
FY2023-24,2023-07-03,1edbeeaa-a06c-4bc3-9c02-a60ff0746afe,Tartan Group,1384.12,Storage Costs July 23,Storage,95,Section 8-1,1384.12,Yes,No,90,"The transaction relates to 'Storage Costs July 23'. There is no indication that this storage is related to R&D activities. Therefore, it does not meet",No,No,Yes,
FY2024-25,2024-11-21,5b98daef-5f05-4e8a-ac3f-bd19cb1ea3a2,Starter Richmond,46.07,??,Unknown,50,Section 8-1,46.07,Yes,No,60,Insufficient information to determine R&D eligibility. The description '??' provides no details about the nature of the expense.,No,No,Yes,Need more information to determine the nature of the expense from Starter Richmond. Receipt required.
FY2022-23,2023-03-01,e9bcbf24-2915-49ab-8766-26af88ad45f9,Multipli,407,Phone system ,Software,85,Section 8-1,407,Yes,No,70,Purchase of a phone system is unlikely to meet the R&D criteria. There is no indication of experimental activities or generation of new knowledge.,No,No,Yes,
FY2022-23,2023-03-06,718b3209-fecc-45c5-af3e-c1fff3f605a0,,50000,Bank Transfer to Westpac Everyday Banking.,Financial Transaction,95,Section 8-1,0,No,No,90,Insufficient information to determine R&D eligibility. The description 'Bank Transfer to Westpac Everyday Banking' provides no details about the natur,No,No,Yes,"Need further information to determine the nature of the expense and its deductibility. Request supporting documentation (invoice, contract, etc.) to understand the purpose of the bank transfer."
FY2022-23,2023-05-08,573a9939-9478-4c90-b1e8-bd9836788ed4,Heisenberg Haus,315.12,Meeting,Travel,75,Section 8-1,315.12,No,No,60,The transaction description 'Meeting' is too vague to determine if it relates to R&D activities. There is no information to suggest that the four elem,YES - REVIEW,No,Yes,Need to determine if the meeting was for business purposes and if entertainment was provided. Entertainment expenses are subject to specific deductibility rules and may have FBT implications.
FY2024-25,2024-12-23,458fba2d-2dbb-44a7-ae37-de41ef7f6991,Starter Richmond,48.07,??,Unknown,50,Section 8-1,48.07,Yes,No,60,Insufficient information to determine R&D eligibility. The description 'from Starter Richmond - ??' and line item '??' are too vague.,No,No,Yes,Requires further clarification of the expense to determine deductibility and potential FBT implications. Need receipt and explanation of what '??' refers to.
FY2022-23,2023-05-10,2633dfb2-256a-4563-894d-db78dab09724,Westpac Bank,2.85,ATM Fee,Banking Fees,95,Section 8-1,2.85,Yes,No,95,ATM fees are not related to R&D activities.,No,No,Yes,Retain bank statement as evidence of the fee.
FY2025-26,2025-08-31,125f176b-2578-404a-abe3-46e3006ce2d2,Ampol Australia Pty Ltd,17.7,Fuel Account,Fuel,95,Section 8-1,17.7,Yes,No,90,Fuel expenses are generally not considered R&D activities unless directly related to and necessary for a specific R&D project. There is no indication ,No,No,Yes,Ensure adequate records (receipts) are maintained to substantiate the fuel expenses.; Review business use percentage of vehicles to determine if any private use component exists. If private use exists
FY2023-24,2023-08-01,57438dc6-b0d9-478b-802f-d3a57066a88a,Tartan Group,1384.12,Storage Costs August 23,Storage,95,Section 8-1,1384.12,Yes,No,90,Storage costs are generally not considered R&D activities unless directly and exclusively related to R&D activities. There is no indication in the des,No,No,Yes,Ensure storage is directly related to business operations and not for personal use.; Verify invoice and payment records.
