PRIORITY,Financial Year,Date,Supplier,Amount,Claimable,Deduction Type,Category,Confidence,Transaction ID,Documentation Required,Notes
14,FY2022-23,2023-05-11,Wages,14252.83,14252.83,Section 8-1,Wages,95,b90fc0ad-fda7-49fc-9739-27a93f2213c9,Yes,Requires payroll records and employee contracts to substantiate the wage expense.; Ensure wages are reasonable and at market rates.
15,FY2022-23,2023-05-18,Wages,14243.65,14243.65,Section 8-1,Wages,90,3b28d08a-0182-4d75-8c04-5a1c5c2b7c01,Yes,Requires payroll records and employee contracts to support the wage expense.; Ensure wages are reasonable and at arm's length.
16,FY2023-24,2023-09-18,Claim Central Pty Ltd ABN 61102685343,13160.82,13160.82,Section 8-1,Cleaning & Restoration,85,8f8e7790-5230-402d-a8b5-8ae77fbdbcfe,Yes,"Ensure adequate documentation (receipts, invoices, SOW) is retained to support the deduction.; Review SOW to confirm no capital works are included."
17,FY2024-25,2025-06-10,Phill McGurk,13000,13000,Section 8-1,Professional Services,60,17ad289f-7b7c-4779-970e-2c3acd5caf1f,Yes,Requires detailed invoice or documentation to support the nature of the expense.; Potential Division 7A risk if Phill McGurk is a shareholder or assoc
18,FY2024-25,2024-08-31,Superannuation,12924.82,12924.82,Section 8-1,Employee Expenses,95,52845087-1eaa-41fa-9e43-9b66885e6b48,Yes,Ensure superannuation obligations are met to avoid penalties.; Verify payments align with employee entitlements.
19,FY2024-25,2025-01-16,Wages,12700.84,12700.84,Section 8-1,Wages,90,01567375-28f2-4d94-a959-7495a839159e,Yes,"Requires standard payroll documentation (timesheets, employment contracts) to support the wage expense.; Need to confirm if any component of the wages"
20,FY2023-24,2024-01-18,Wages,12446.56,12446.56,Section 8-1,Wages,90,5ebced3c-637f-4103-8679-734e229b0289,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
21,FY2024-25,2024-08-01,Wages,11150.96,11150.96,Section 8-1,Wages,90,c0a925b7-d1c7-4fb2-96bc-9d4723826994,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
22,FY2024-25,2024-08-08,Wages,11141.89,11141.89,Section 8-1,Wages,90,85220fc0-c574-4667-9f2f-79832ab5260c,Yes,Requires payroll records and employee contracts to support the wage expense.; Ensure PAYG withholding obligations are met.
23,FY2022-23,2023-05-15,,11000,11000,Section 8-1,Tax Payment,95,71db8f5f-384d-400d-9dd7-96830ee07b53,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax) to ensure correct allocation.; Obtain supporting documentation (e.g., payment advic"
24,FY2022-23,2023-05-05,,10600,10600,Section 8-1,Tax Payment,95,bb7f0d29-9c06-4e16-ae57-29e89aa6d4ef,Yes,"Requires documentation to confirm the nature of the tax payment (e.g., income tax, GST, PAYG withholding).; Ensure the payment aligns with the busines"
25,FY2022-23,2023-05-12,,10600,10600,Section 8-1,Tax Payment,95,c62e9c37-a5a3-4515-9a4b-f54d46c9ff0a,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax) to ensure correct allocation.; Obtain supporting documentation (e.g., payment advic"
26,FY2024-25,2024-12-27,,10600,10600,Section 8-1,Tax Payment,95,fd7164fa-0eef-4fe2-8d74-77e17cf8195a,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG withholding, income tax).; Ensure sufficient documentation (e.g., payment remittance advice) is "
27,FY2024-25,2024-09-27,,10600,10600,Section 8-1,Tax Payment,95,5a063667-9039-4e56-a679-f7afa17d52e4,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax).; Ensure payment aligns with tax liabilities."
28,FY2024-25,2024-07-05,,10600,10600,Section 8-1,Tax Payment,95,d6591a46-84ae-45e3-9a68-b2964f4b944d,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax).; Ensure payment aligns with tax liabilities."
29,FY2024-25,2024-07-12,,10600,10600,Section 8-1,Tax Payment,90,1d1c5ea9-8424-4fb3-a81d-7a49ba6f95dc,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax) to ensure correct allocation and deductibility.; Obtain documentation from Westpac "
30,FY2024-25,2024-07-26,,10600,10600,Section 8-1,Tax Payment,95,0c60e730-fe66-44dc-8c82-fe9679f32997,Yes,Verify the nature of the tax payment and ensure it aligns with the business's tax obligations.; Confirm the tax payment is not related to any non-dedu
31,FY2024-25,2025-01-10,,10600,10600,Section 8-1,Tax Payment,95,925647ad-4b07-4367-8f41-5beb2b3a66f9,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax) to ensure correct allocation.; Obtain supporting documentation (e.g., payment advic"
32,FY2024-25,2024-07-19,,10600,10600,Section 8-1,Tax Payment,95,5559b570-ef85-4175-870a-b67222d115ff,Yes,"Confirm the nature of the tax payment (e.g., PAYG, GST, Income Tax) to ensure correct allocation and deductibility.; Obtain evidence of the tax assess"
33,FY2024-25,2024-07-19,,10600,10600,Section 8-1,Unknown,60,0d6e8bcc-9c11-4ea9-bc58-eb1abc997235,Yes,Need more information to determine the nature of the expense.; Requires receipt or invoice to support the deduction.
34,FY2024-25,2024-08-02,,10600,10600,Section 8-1,Tax Payment,95,674f63e3-fb40-47b6-a06c-4a6ffb939cf8,Yes,"Verify the nature of the tax payment and ensure it aligns with the business's tax obligations.; Obtain documentation supporting the tax payment (e.g.,"
35,FY2024-25,2025-01-24,,10600,10600,Section 8-1,Tax Payment,95,2a6970e3-c996-4f7b-bd0a-6e32839f2a7a,Yes,Verify the nature of the tax payment and ensure it aligns with the business's tax obligations.; Obtain supporting documentation such as payment remitt
36,FY2022-23,2022-07-15,,10600,10600,Section 8-1,Tax Payment,95,35dfba1f-6f96-44aa-a409-00dbdf2989da,Yes,"Confirm the type of tax being paid (e.g., GST, PAYG, Income Tax).; Ensure payment aligns with tax liabilities."
37,FY2024-25,2024-08-09,,10600,10600,Section 8-1,Tax Payment,95,27501c58-ddf4-4203-8621-2145a6ffb5ce,Yes,"Verify the nature of the tax payment (e.g., GST, PAYG, Income Tax) to ensure correct allocation.; Obtain supporting documentation (e.g., remittance ad"
38,FY2024-25,2024-08-22,Wages,10596.93,10596.93,Section 8-1,Wages,85,a5c441aa-4061-4402-8aa2-c49b3fd0f6a5,Yes,"Requires timesheets or other documentation to support the deductibility of wages.; Need to confirm that the wages are not subject to FBT (e.g., if the"
39,FY2024-25,2025-01-09,Wages,10480.94,10480.94,Section 8-1,Wages,85,d6e18f88-9e86-4513-af7b-df91f7c0ca5a,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable and at market rates.
40,FY2024-25,2025-04-10,Wages,10148.17,10148.17,Section 8-1,Wages,90,310652a8-3af5-4336-8bbc-267ae339be85,Yes,"Requires standard payroll documentation (timesheets, employment contracts) to support the deduction.; Ensure wages are at market rates."
41,FY2024-25,2025-06-12,Wages,10131.93,10131.93,Section 8-1,Wages,95,4123a92f-0944-45a0-aff1-c0c3ba96cc44,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are properly recorded and PAYG withholding obligations are met.
42,FY2025-26,2025-10-08,Phill McGurk,10000,10000,Section 8-1,Unknown,60,015932b7-e5e9-4a9a-847c-ce49d3dde3f1,Yes,Need detailed invoice or description to determine deductibility and potential FBT or Division 7A implications.; Payment to Phill McGurk requires scrut
43,FY2025-26,2025-10-14,Phill McGurk,10000,10000,Section 8-1,Unknown,60,4f951a22-dffa-4848-b6ea-2cdbeca81b7a,Yes,Need more information to determine the nature of the expense. 'From Phill McGurk' is insufficient.; Potential Division 7A risk if Phill McGurk is a sh
44,FY2024-25,2025-03-06,Phillip McGurk,10000,10000,Section 8-1,Professional Services,70,6b1cb1fd-f03d-4eaa-9eda-f5918c5db61a,Yes,Need detailed invoice or description of services provided by Phillip McGurk to determine deductibility and potential Division 7A implications if Phill
45,FY2024-25,2025-03-13,Wages,9793.48,9793.48,Section 8-1,Wages,85,209e2f34-b39d-4e64-a950-ee4e5bf53c29,Yes,Requires timesheets or other documentation to support the wage expense.; Need to confirm if any portion of the wages relates to non-deductible activit
46,FY2024-25,2024-07-11,Wages,9664.38,9664.38,Section 8-1,Wages,85,bb776c32-7414-46f1-81f8-bd904ccacb15,Yes,Requires timesheets or other documentation to support the wage expense.; Need to confirm that the wages are ordinary income to the employee.
47,FY2024-25,2024-07-18,Wages,9603.24,9603.24,Section 8-1,Wages,90,b8fade16-1b80-448a-8512-62c4aa652c25,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
48,FY2024-25,2024-07-04,Wages,9558.31,9558.31,Section 8-1,Wages,85,882a75c2-1ed8-4f7a-80af-481be0bd023e,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
49,FY2025-26,2025-09-30,Superannuation,9151.04,9151.04,Section 8-1,Employee Expenses,95,cc63ac9b-e767-43e6-8ae1-fb9dc47ab1e3,Yes,Ensure superannuation contributions are made on time to avoid penalties.; Verify that the superannuation fund is a complying fund.
50,FY2024-25,2025-06-19,Wages,9140.86,9140.86,Section 8-1,Wages,85,3eac230e-46f3-4cfc-b851-35d315cfcf9e,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable and at market rates.
51,FY2024-25,2024-09-05,Wages,8603.53,8603.53,Section 8-1,Wages,85,deca95e4-6992-47dd-a94a-ff680b41b08e,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
52,FY2025-26,2025-10-27,Lahrs Road Pty Ltd as Trustees for Lahrs Road Property Trust,8549.75,8549.75,Section 8-1,Repairs and Maintenance,90,f1182906-1382-4c36-94f7-3e686c7ceb89,Yes,"Ensure proper documentation (invoice, scope of works) is retained to support the deduction.; Assess if any portion of the property is used for private"
53,FY2024-25,2025-02-06,Wages,8483.25,8483.25,Section 8-1,Wages,85,a21e4d26-a913-4e8f-8a84-27bedbc41891,Yes,Requires timesheets or other documentation to support the wage expense.; Need to confirm if any portion of the wages relates to entertainment or other
54,FY2024-25,2024-09-12,Wages,8032,8032,Section 8-1,Wages,85,cb672840-9f05-4905-8b75-fc5795c8c93d,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable and at market rates.
55,FY2024-25,2025-01-30,Wages,7960.83,7960.83,Section 8-1,Wages,85,c2217a24-e97f-4b7d-a50f-94f7fe71e74c,Yes,Requires timesheets or other documentation to support the wage expense.; Need to confirm if any portion of the wages relates to entertainment or priva
56,FY2022-23,2023-05-23,,7500,7500,Section 8-1,Financial Services,70,f5666fba-7b1b-4736-a048-d9bd28c0f771,Yes,Need to determine the nature of expenses charged to the credit cards to assess deductibility. Obtain credit card statements.; Ensure expenses are busi
57,FY2024-25,2024-07-01,Carsi,7500,7500,Section 8-1,Professional Services,70,f588e16e-bb63-4da5-b8c5-981c51c6796b,Yes,Need to determine the nature of services provided by CARSI to assess deductibility and potential R&D eligibility.; Obtain invoice or contract from CAR
58,FY2024-25,2025-01-23,Wages,7344.53,7344.53,Section 8-1,Wages,90,a0753efb-87c9-4d0c-b777-7f97eb634418,Yes,Requires timesheets or other documentation to support the deductibility of wages. Need to confirm if any component relates to entertainment.
59,FY2025-26,2025-07-10,Wages,7331.58,7331.58,Section 8-1,Wages,90,07a39a25-1f6e-4048-88d3-c253d3a2bfc9,Yes,"Ensure adequate documentation (timesheets, employment contracts) exists to support the wage expense.; Verify that PAYG withholding obligations have be"
60,FY2023-24,2024-01-07,Fast Labour Hire Brisbane Pty Ltd,6317.16,6317.16,Section 8-1,Labour Hire,85,7c016870-bd78-4a9f-b4d9-4bf787d63db0,Yes,Requires detailed invoices or timesheets specifying the nature of the 'Various jobs' to confirm deductibility.; Ensure the labour hire is for business
61,FY2024-25,2025-03-06,Kleena Blinds and Curtains,6270.47,6270.47,Section 8-1,Cleaning Services,90,7abfbef6-f82b-499d-a550-402ee472cffc,Yes,
62,FY2023-24,2023-09-15,Construct Services,6201.11,6201.11,Section 8-1,Professional Services,95,c30ad001-bcb5-4e39-a467-2e3da83dd34f,Yes,"Ensure all invoices and receipts are retained.; Confirm that the travel expenses are substantiated with appropriate records (e.g., logbook)."
63,FY2024-25,2025-05-26,AJ Grant Restorations Pty Ltd,5874,5874,Section 8-1,Restoration Services,95,686ef878-f759-4cad-ac81-12d68c97bf62,Yes,"Ensure proper documentation (receipts, invoices) is maintained to support the deduction."
64,FY2025-26,2025-07-31,Wages,5839.28,5839.28,Section 8-1,Wages,85,16a02cc1-32ff-4354-80fa-0b8ad717080c,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are properly recorded and PAYG withholding obligations are met.
65,FY2023-24,2023-12-01,Matilda Industrial Units,5439.87,5439.87,Section 8-1,Rent,90,a3a70fd0-ebc7-4691-a321-c05be00e6351,Yes,Ensure the rental agreement is available for verification.; Confirm the property is used wholly for business purposes.
66,FY2023-24,2023-11-01,Matilda Industrial Units,5439.87,5439.87,Section 8-1,Rent,90,00974118-f936-449c-8282-21d4dcc6a40b,Yes,"Ensure rental agreement is in place.; Confirm the premises are used wholly and exclusively for business purposes. If there is any private use, the ded"
67,FY2025-26,2025-07-24,Wages,5424.89,5424.89,Section 8-1,Wages,90,b21b8198-07df-45b8-8c5a-ec9ab988ddd5,Yes,Requires timesheets or other documentation to support the nature of work performed by the employee.; Ensure PAYG withholding obligations are met.
68,FY2024-25,2025-02-04,AJ Grant Restorations Pty Ltd,5388.9,5388.9,Section 8-1,Restoration Services,90,1a917f9e-b503-40d1-9082-a36bccc2c766,Yes,"Ensure adequate documentation (receipts, invoices) is retained to support the deduction.; Review travel expenses to ensure they are wholly and exclusi"
69,FY2024-25,2025-01-09,,5382.05,5382.05,Section 8-1,Unknown,60,82588247-441c-4fea-a79e-4f369ae551cb,Yes,"Requires detailed invoice or receipt to determine the nature of the expense and confirm deductibility.; Without further information, the expense is as"
70,FY2025-26,2025-12-01,Matilda Industrial Units,5331.21,5331.21,Section 8-1,Rent,90,b9e5e03f-56ca-4202-8b64-8340efc53e70,Yes,Ensure rental agreement is available for verification.; Confirm the property is used wholly for business purposes to ensure full deductibility.
71,FY2024-25,2025-06-01,Matilda Industrial Units,5331.21,5331.21,Section 8-1,Rent,90,98ebe054-08a1-4c9f-be0d-1d3e89172e4b,Yes,"Ensure the rental agreement is available.; Confirm the property is used wholly for business purposes. If there is any private use, the deductible amou"
72,FY2023-24,2024-05-01,Matilda Industrial Units,5331.21,5331.21,Section 8-1,Rent,90,7911c972-c2ea-458c-99fd-e7f1e811e962,Yes,Ensure the rental agreement is available for verification.; Confirm the industrial unit is used wholly for business purposes. If there is any private 
73,FY2025-26,2025-07-01,Matilda Industrial Units,5331.21,5331.21,Section 8-1,Rent,90,8ab56fc5-dba2-43b9-8366-67deca61aaf8,Yes,
74,FY2025-26,2025-10-01,Matilda Industrial Units,5331.21,5331.21,Section 8-1,Rent,90,fb8df8b3-d864-4620-a775-b0f083486bfe,Yes,Ensure rental agreement is in place.; Confirm the property is used wholly for business purposes.
75,FY2025-26,2026-01-01,Matilda Industrial Units,5331.21,5331.21,Section 8-1,Rent,90,2219aa22-5928-4fee-aed4-b6f0cab36ab2,Yes,Ensure rental agreement is available.; Confirm the property is used wholly for business purposes.
76,FY2023-24,2023-10-04,Claim Central Pty Ltd ABN 61102685343,5128.42,5128.42,Section 8-1,Repairs and Maintenance,85,c436897f-f6bb-4c2a-9fd2-94192b3e22d7,Yes,"Ensure proper documentation (invoice, SOW) is retained to support the deduction.; Confirm that the expense relates to the business operations of Disas"
77,FY2025-26,2025-07-22,Commonwealth Bank Overdraft Account,5000,5000,Section 8-1 ITAA 1997 - general deduction,Finance Costs,90,d7f7596b-cd31-485d-92da-a485aa04b525,Yes,
78,FY2025-26,2025-07-21,Commonwealth Bank Overdraft Account,5000,5000,Section 8-1 ITAA 1997 - general deduction,Finance Costs,90,9d924a62-8a08-464c-a21b-c5d4d0f22c55,Yes,
79,FY2025-26,2025-08-14,Commonwealth Bank Overdraft Account,5000,5000,Section 8-1,Finance Costs,95,7ec3d9bc-c9b4-4cf5-9376-f2e7eb73ae2d,Yes,Requires bank statements to verify the interest expense.; Ensure the overdraft was used for business purposes.
80,FY2025-26,2025-08-18,Commonwealth Bank Overdraft Account,5000,5000,Section 8-1,Finance Costs,95,ce1fa584-3a64-4cfb-88d3-089d629375fe,Yes,Requires bank statements to verify the interest expense.; Ensure the overdraft was used for business purposes.
81,FY2025-26,2025-08-15,Commonwealth Bank Overdraft Account,5000,5000,Section 8-1,Finance Costs,90,7cfb0139-d589-429b-9e5d-e4304e4dc363,Yes,Retain bank statements as evidence of the expense.
82,FY2025-26,2025-07-21,Commonwealth Bank Overdraft Account,5000,5000,Section 8-1 ITAA 1997 - general deduction,Finance Costs,90,cfcd4e14-94cd-4495-8d09-3d55e20d9174,Yes,
83,FY2024-25,2024-07-08,Travelex,4929.35,4929.35,Section 8-1,Travel,80,f99e0170-0c18-41c0-97bf-1a7d6f9822b0,Yes,"Requires receipts and itinerary to confirm business purpose of travel.; Determine if any portion of the travel relates to entertainment, which may hav"
84,FY2023-24,2023-10-18,AJ Grant Restorations Pty Ltd,4721.2,4721.2,Section 8-1,Repairs and Maintenance,90,561e2e0e-c0bb-498f-9c0d-6d7f4d293788,Yes,"Ensure proper documentation (receipts, SOW) is retained to support the deduction.; Review the SOW for any potential capital expenditure."
85,FY2023-24,2023-11-22,AJ Grant Restorations Pty Ltd,4461.88,4461.88,Section 8-1,Repairs and Maintenance,90,f4ff05f3-0ef6-40b9-83c0-3724815d28d4,Yes,Ensure all invoices and receipts are retained.; Confirm that the expenditure is wholly and exclusively for business purposes.
86,FY2024-25,2025-02-17,Progressive Insurance,4235.37,4235.37,Section 8-1,Insurance,90,e80179f4-8458-47c1-835d-5d0311cdd499,Yes,Ensure the insurance policy relates to business assets or activities to support deductibility.
87,FY2025-26,2026-01-08,Superannuation,4201.97,4201.97,Section 8-1,Employee Expenses,95,31465adf-ef7f-4246-ae30-8b80fefd4513,Yes,Ensure superannuation contributions are made on time to avoid penalties.; Verify that the superannuation fund is a complying fund.
88,FY2023-24,2023-08-28,Tartan Group,4197.6,4197.6,Section 8-1,Professional Services,90,6ea31c1b-8a30-4acf-bf95-495438e64abe,Yes,"Ensure proper documentation (invoices, receipts) is retained to support the deduction.; Confirm that the expenses are wholly and exclusively incurred "
89,FY2025-26,2025-09-17,Wages,4157.71,4157.71,Section 8-1,Wages,85,3aeb25c2-2bd5-4851-b203-725a7bb61673,Yes,"Requires timesheets and payroll records to support the wage expense.; Need to confirm if any portion of the wages relates to entertainment, which may "
90,FY2025-26,2025-10-14,Cutting Edge Insurance,4139.3,4139.3,Section 8-1,Insurance,95,4725f609-1058-4570-abb7-47adbf302708,Yes,Requires receipt from Cutting Edge Insurance to substantiate the expense.
91,FY2023-24,2023-12-03,Fast Labour Hire Brisbane Pty Ltd,3903.75,3903.75,Section 8-1,Labour Hire,85,1d03bb1d-f9f5-4d18-a91f-1d7b77f2a990,Yes,Ensure invoice and timesheets are retained as evidence of the expense.; Confirm the expense is wholly and exclusively for the purpose of producing ass
92,FY2023-24,2023-11-16,MGR Lawyers Pty Ltd,3879.47,3879.47,Section 8-1,Professional Services,85,81e7af9f-34b8-4615-8b28-c7b7fefc3984,Yes,Ensure invoice and payment records are retained.; Assess the nature of the Stamford Plaza conflict to determine if any portion of the legal fees are c
93,FY2023-24,2024-01-16,Allianz Australia Insurance Limited,3804.35,3804.35,Section 8-1,Repairs and Maintenance,95,d208c9dc-a26f-433f-b53c-1631ee09fe89,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction.; Confirm the expense relates to the business operations of Disas"
94,FY2022-23,2023-05-19,MTA Travel,3786.76,3786.76,Section 8-1,Travel,90,059f8f82-8d1b-4a38-be10-71212c39eae8,Yes,Ensure travel is directly related to business activities and not for private purposes.; Keep all receipts and documentation related to the travel.
95,FY2023-24,2023-10-18,Claim Central Pty Ltd ABN 61102685343,3481.68,3481.68,Section 8-1,Repairs and Maintenance,90,95a1b025-aa88-4046-aab8-ed612c951b34,Yes,
96,FY2024-25,2024-09-23,Vector Wave Tech,3330.86,3330.86,Section 8-1,Software,95,5f1d6552-4cfe-4b18-a08f-44604bd49cb8,Yes,Confirm the website builder application is used wholly for business purposes.
97,FY2023-24,2023-12-31,BP Australia Pty Ltd,2936.12,2936.12,Section 8-1,Fuel,80,c492bc65-2ecb-4e3f-b6d9-ca101b614bdc,Yes,Ensure logbooks are maintained to substantiate business use percentage of vehicles.; Review for potential private use component.
98,FY2022-23,2023-05-01,Paypal,2844.42,2844.42,Section 8-1,Professional Services,70,e5fd809d-09f6-42bc-848f-9a202123937c,Yes,"Requires detailed invoice from Paypal to determine the nature of the expense.; Without further information, it is assumed to be a general business exp"
99,FY2025-26,2025-07-21,Motorama Ford Moorooka,2800,2800,Section 8-1 ITAA 1997 - general deduction,Vehicle,95,48edc46a-b819-451e-bc15-922ada1747a9,Yes,"Deductible via cents per km (85c/km max 5,000km) or logbook method"
100,FY2023-24,2023-10-16,AJ Grant Restorations Pty Ltd,2766.5,2766.5,Section 8-1,Repairs & Maintenance,95,9a3eac32-63cb-4640-83dd-715ef3adf8e1,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction.; Confirm the expense was incurred in deriving assessable income."
101,FY2024-25,2024-07-12,Disaster Recovery,2720,2720,Section 8-1,Tax,95,afa694da-dd5d-4d1d-a61b-34e369fdf34e,Yes,Verify the nature of the ATO payment to ensure deductibility. Request supporting documentation from the ATO or internal records.
102,FY2024-25,2024-07-12,Disaster Recovery,2720,2720,Section 8-1,Tax,90,213faddf-67f2-44b5-92ea-f56292ae1178,Yes,"Requires documentation to support the nature of the ATO payment (e.g., income tax, GST, PAYG withholding).; Ensure the payment relates to the business"
103,FY2024-25,2025-01-24,Disaster Recovery,2720,2720,Section 8-1,Professional Services,95,186ca3bb-9ab3-49fd-baca-e38aa8405dc9,Yes,Ensure invoice and payment records are retained.; Confirm the expense relates to the business operations.
104,FY2024-25,2024-09-24,Disaster Recovery,2720,2720,Section 8-1,Taxation,95,6541fa36-1465-4b95-91f8-b4669dd0044f,Yes,Ensure payment is properly documented with ATO statements.; Confirm the BAS relates to the business operations.
105,FY2024-25,2024-07-24,Disaster Recovery,2720,2720,Section 8-1,Tax,95,c0c4de46-1c06-47e9-9f8a-2f884a561376,Yes,Ensure payment is properly documented with ATO statements.; Confirm the expense relates to the business operations of Disaster Recovery Qld Pty Ltd.
106,FY2024-25,2024-11-25,Disaster Recovery,2720,2720,Section 8-1,Professional Services,95,f81f6ed0-6c50-4818-9069-43c4b598ae21,Yes,Ensure invoice and payment records are retained.; Confirm the expense relates to the business operations.
107,FY2025-26,2025-10-08,Wages,2679.31,2679.31,Section 8-1,Wages,85,a94c7f97-25f9-4d19-8064-9c0e73979ed8,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are properly recorded and PAYG withholding obligations are met.
108,FY2023-24,2023-10-20,Claim Central Pty Ltd ABN 61102685343,2671.38,2671.38,Section 8-1,Repairs and Maintenance,90,627a8045-ce64-4996-8b79-654fcb5026a2,Yes,"Ensure proper documentation (receipts, invoices) is retained.; Review SOW for any unusual terms or conditions."
109,FY2025-26,2025-11-12,Wages,2642.46,2642.46,Section 8-1,Wages,85,d429f7e8-b78a-4c2f-ac14-646281ae5f35,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
110,FY2025-26,2025-10-15,Wages,2601.73,2601.73,Section 8-1,Wages,90,62550214-2fa5-4c76-912a-9b827a89e262,Yes,Requires timesheets or other documentation to support the wage expense.; Ensure wages are reasonable for the work performed.
111,FY2025-26,2025-07-31,Pattersons Insurebuild,2585,2585,Section 8-1,Repairs and Maintenance,90,3273dbfe-95b7-42a7-9af6-b06a7134d302,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction."
112,FY2025-26,2025-08-29,Pattersons Insurebuild,2574,2574,Section 8-1,Repairs and Maintenance,90,a267b1d6-79bb-4392-acad-3077ae9511ce,Yes,"Ensure proper documentation (invoice, proof of payment) is retained to support the deduction."
113,FY2023-24,2023-09-28,AJ Grant Restorations Pty Ltd,2524.5,2524.5,Section 8-1,Restoration Services,90,077a608b-4332-4762-ab38-7381a7e21cc6,Yes,"Ensure proper documentation (invoice, receipts) is retained to support the deduction."
