Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2023-24,2023-07-20,3330deca-c5e3-45a3-9beb-afc9ae30f569,Zoom,24.63,,Software,95,Section 8-1 ITAA 1997 - general deduction,24.63,Yes,No,90,The transaction description 'from Zoom' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no indic,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-08-01,6a5ead53-70d2-42d2-a589-b03416cecc1f,Westpac,10,,Financial Services,90,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,The transaction description 'from Westpac' does not contain any information to suggest that it is related to R&D activities. There is no evidence of t,No,No,Yes,
FY2023-24,2023-08-10,6f80c9cc-ffa9-4086-8f02-9a59175f8dfd,ASIC,290,,Regulatory Fees,95,Section 8-1 ITAA 1997 - general deduction,290,Yes,No,90,"The transaction relates to a payment to ASIC. There is no indication of R&D activity based on the provided information. Therefore, it does not meet th",No,No,Yes,Retain receipt from ASIC as evidence of the expense.; s 8-1 ITAA 1997 allows a deduction for losses and outgoings to the extent they are incurred in gaining or producing assessable income or are neces
FY2023-24,2023-08-22,4c33fd9b-77de-423c-937d-9e97a49cec71,Upwork,554.45,Visual video for CARSI,Marketing,90,Section 8-1 ITAA 1997 - general deduction,554.45,Yes,No,95,"The transaction description 'Visual video for CARSI' does not contain any evidence of technical uncertainty, systematic investigation, generation of n",No,No,Yes,Ensure invoice from Upwork is retained as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-08-31,fa47ae04-b2ab-4abb-96f3-75a1da92fe2e,Go Daddy,119.88,,Software,85,Section 8-1 ITAA 1997 - general deduction,119.88,Yes,No,95,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. It appears to ,No,No,Yes,Requires receipt from Go Daddy to substantiate the expense. s 8-1 ITAA 1997 - general deduction allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurr
FY2023-24,2023-08-21,a6d04cd0-38b8-4a02-9d29-c865a415c812,Xero Australia Pty Ltd,81,,Software,90,Section 8-1 ITAA 1997 - general deduction,81,Yes,No,95,"The transaction description 'from Xero Australia Pty Ltd' does not contain any evidence of technical uncertainty, systematic investigation, generation",No,No,Yes,
FY2023-24,2023-07-18,e933b77e-c1d0-4070-9971-9707ea0f436e,Hostinger,79.36,,Software,95,Section 8-1 ITAA 1997 - general deduction,79.36,Yes,No,90,The transaction description 'from Hostinger' does not contain any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is no i,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-08-18,6bc96478-bdb2-4f48-a375-0fc5f8c882d6,PLANNERVID,43.7,,Professional Services,60,Section 8-1 ITAA 1997 - general deduction,43.7,Yes,No,5,"The transaction description 'from PLANNERVID' does not provide any evidence of R&D activities. There is no indication of technical uncertainty, system",No,No,Yes,
FY2023-24,2023-09-18,d9fe3052-fceb-4dfa-83f7-a9656ed2d3f6,,2000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,s 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that it relates to R&D activities. There i,No,No,Yes,Requires further information to determine the nature of the expense and its deductibility. Need to identify the supplier and the purpose of the bank transfer.
FY2023-24,2023-09-15,6b25e9f2-f349-4c72-a444-e1b6b8b5ce30,Jasper A1 Rollingwood,79.11,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,79.11,Yes,No,50,The transaction description 'from Jasper A1 Rollingwood' does not provide any information to suggest that it is related to R&D activities as defined u,No,No,Yes,
FY2023-24,2023-09-19,98861197-708b-4223-8798-6ccc7c7465f5,Upwork,546.7,Visual video for CARSI,Marketing,85,Section 8-1 ITAA 1997 - general deduction,546.7,Yes,No,95,"The transaction description 'Visual video for CARSI' does not contain any evidence of technical uncertainty, systematic investigation, generation of n",No,No,Yes,Receipt from Upwork required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for losses and outgoings to the extent they are incurred in gaining or producing assessable income or are n
FY2023-24,2023-09-21,373e85cf-a8e1-4f0e-a83f-1555c97afa4c,Rydges,399.91,,Travel,90,Section 8-1,399.91,Yes,No,50,"The transaction description 'from Rydges' does not contain any information suggesting R&D activities. There is no indication of technical uncertainty,",No,No,Yes,
FY2023-24,2023-09-21,94408024-d5e7-4906-adf6-b49782a5b2d9,Wework,38.5,Spare Office,Rent,95,Section 8-1 ITAA 1997 - general deduction,38.5,Yes,No,95,"The transaction relates to renting a 'Spare Office' from Wework. There is no indication of R&D activity, technical uncertainty, or systematic investig",No,No,Yes,Deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income. Requires receipt from Wework as evidence of the expense.
FY2023-24,2023-09-27,db82220a-61f5-41b2-9212-563da762c64b,Fiverr,21.35,,Professional Services,70,Section 8-1 ITAA 1997 - general deduction,21.35,Yes,No,60,"The transaction description 'from Fiverr' lacks specific details indicating R&D activities. There is no evidence of technical uncertainty, systematic ",No,No,Yes,
FY2023-24,2023-10-02,40279817-e190-495d-8bf2-de1a364d3aee,Westpac,10,,Financial Services,90,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,10,The transaction description 'from Westpac' does not contain any information to suggest that it is related to R&D activities. There is no evidence of t,No,No,Yes,Requires receipt from Westpac to verify the nature of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-10-09,50ce609e-d700-4b04-b75c-879d79ab3d79,Fiverr,73.69,,Professional Services,70,Section 8-1 ITAA 1997 - general deduction,73.69,Yes,No,50,"The transaction description 'from Fiverr' lacks specific details indicating R&D activity. There is no evidence of technical uncertainty, systematic in",No,No,Yes,
FY2023-24,2023-10-10,24b67cf9-7dc8-4052-9629-27db1153c46d,Mailchimp,32.63,,Marketing,95,Section 8-1 ITAA 1997 - general deduction,32.63,Yes,No,90,The transaction description 'from Mailchimp' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. Mailchimp is,No,No,Yes,Deductible under s 8-1 ITAA 1997 if the expense was necessarily incurred in carrying on a business for the purpose of gaining or producing assessable income. The description 'from Mailchimp' suggests 
FY2023-24,2023-10-31,6fbaee65-4bbc-46d6-be8c-9d945fc26421,Westpac,0.04,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,0.04,Yes,No,95,The transaction description 'from Westpac' does not contain any information suggesting R&D activities. There is no indication of technical uncertainty,No,No,Yes,
FY2023-24,2023-09-22,826b0a81-2465-4b45-a8b3-cf0d2973d964,Semrush,209.67,,Marketing,85,Section 8-1 ITAA 1997 - general deduction,209.67,Yes,No,95,Semrush is a marketing and SEO tool. The transaction description does not contain any evidence of R&D activities as defined in Division 355 of ITAA 19,No,No,Yes,Receipt required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-07-20,083375f3-d5b6-46b4-9ba0-5d0f6e4d2c3c,Mario Conde,5000,,Professional Services,60,Section 8-1 ITAA 1997 - general deduction,5000,Yes,No,5,"The transaction description 'from Mario Conde' provides no indication of R&D activities. There is no evidence of technical uncertainty, systematic inv",No,No,Yes,
FY2023-24,2023-10-02,8fd3df64-77a1-4cef-9bae-6c5a1e778501,INvideo Innovation,924.9,,Software,70,Section 8-1 ITAA 1997 - general deduction,924.9,Yes,No,50,The transaction description 'from INvideo Innovation' does not provide sufficient evidence to suggest that the expense relates to core or supporting R,No,No,Yes,
FY2023-24,2023-09-27,4f7f4845-2f09-4e02-8ea5-dd2079bf276a,Belrose,81,,Unknown,50,Section 8-1,81,Yes,No,50,The transaction description 'from Belrose' does not provide any information to suggest that it is related to R&D activities. There is no mention of te,No,No,Yes,
FY2023-24,2023-09-29,8d758d98-6f9c-4e55-8900-dabf9e491d07,,1200,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Unknown,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that this payment relates to any R&D activ,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-08-31,21420f92-7a28-437c-9f74-cbdf9ef2ff8b,,2000,Bank Transfer from Westpac AU 034130305254.,Unknown,50,Unknown,0,No,No,5,The transaction description 'Bank Transfer from Westpac AU 034130305254' provides no information to suggest that it relates to R&D activities. There i,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-11-30,25731f3f-5a30-4b9d-be5d-51128fef1824,Westpac,0.07,,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,0.07,Yes,No,90,The transaction description 'from Westpac' and the amount of $0.07 do not provide any indication of R&D activities. There is no evidence of technical ,No,No,Yes,
FY2023-24,2023-10-25,f6c4ee2c-94ec-41fc-bda1-fd79db4ab3fd,Vistaprint,95.72,Business cards,Marketing,95,Section 8-1 ITAA 1997 - general deduction,95.72,Yes,No,95,The transaction relates to the purchase of 'Business cards' from Vistaprint. There is no indication of R&D activity as defined under Division 355 of t,No,No,Yes,
FY2023-24,2023-08-22,38650a81-be94-44b9-b89e-1ed9d2254515,Jim's Bookkeeping Maryborough,97.5,Monthly account keeping - July,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,97.5,Yes,No,95,The transaction relates to 'Monthly account keeping'. This is a routine business activity and does not involve any R&D activities as defined under Div,No,No,Yes,Ensure invoice and payment records are retained as evidence of the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income.
FY2023-24,2023-09-29,ff7ba6c9-ab99-4b8f-a0e6-8a6d696466f3,Unknown,5542.4,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,0,No,No,5,The transaction description 'from Unknown' and the line item description '' do not provide any evidence of R&D activities as defined in Division 355 o,No,No,Yes,Insufficient information to determine deductibility. Requires detailed invoice or description to determine if the expense is deductible under s 8-1 ITAA 1997. Need to determine if the expense was nece
FY2024-25,2024-07-04,00d364df-c9a5-4995-be6d-56b80231cf98,Hostlinger,245.8,,Software,70,Section 8-1 ITAA 1997 - general deduction,245.8,Yes,No,60,The transaction description 'from Hostlinger' does not provide sufficient evidence to suggest that the expense relates to R&D activities as defined un,No,No,Yes,
FY2024-25,2024-07-22,41c749f3-677e-4c36-9a24-0ea53fe24325,Semrush,269.67,,Marketing,85,Section 8-1 ITAA 1997 - general deduction,269.67,Yes,No,95,Semrush is a marketing and SEO tool. The transaction description lacks any indication of R&D activities as defined under Division 355 of the ITAA 1997,No,No,Yes,Deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income. Receipt from Semrush required as documentation.
FY2024-25,2024-07-29,94c9e114-8d5b-403b-a6c3-b9b4c13b6f1a,Pipedrive OU,133.38,,Software,75,s 8-1 ITAA 1997 - general deduction,133.38,Yes,No,60,"Based on the transaction description 'from Pipedrive OU', there is no indication of R&D activity. Pipedrive is a CRM software, and the transaction lik",No,No,Yes,Requires receipt from Pipedrive OU to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying o
FY2024-25,2024-08-15,123ce770-a43c-4427-ac42-003636f87c6e,Jasper A1 Rollingwood,76.74,,Unknown,50,Section 8-1 ITAA 1997 - general deduction,76.74,Yes,No,50,The transaction description 'from Jasper A1 Rollingwood' does not contain any information to suggest that it is related to R&D activities. There is no,No,No,Yes,Need to determine the nature of the expense to confirm deductibility under s 8-1 ITAA 1997. The description 'from Jasper A1 Rollingwood' is insufficient.
FY2024-25,2024-08-21,4d8eb0fb-e18b-4f85-b348-0aa99a4556d2,Go Daddy,34.01,,Software,85,Section 8-1 ITAA 1997 - general deduction,34.01,Yes,No,95,"The transaction description 'from Go Daddy' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowle",No,No,Yes,
FY2024-25,2024-07-31,0c18f077-2d41-43fb-9fd0-8010348f9547,Westpac,0.03,,Financial Services,90,Section 8-1 ITAA 1997 - general deduction,0.03,Yes,No,95,The transaction description 'from Westpac' and the amount of $0.03 do not provide any indication of R&D activities. There is no evidence of technical ,No,No,Yes,
FY2024-25,2024-08-27,c615d061-ab39-4aba-a928-90de5b3fccab,Disaster Recovery,2500,,IT Services,85,Section 8-1 ITAA 1997 - general deduction,2500,Yes,No,95,"The transaction description 'Disaster Recovery' does not provide any evidence of technical uncertainty, systematic investigation, generation of new kn",No,No,Yes,Ensure invoice and payment records are retained as evidence of the expense. The expense is deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income or necessarily i
FY2024-25,2024-09-20,8c3ef14e-f340-42d2-afc7-53c0810e1750,Local Falcon,458.13,,Marketing,75,Section 8-1 ITAA 1997 - general deduction,458.13,Yes,No,60,The transaction description 'from Local Falcon' does not provide any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is n,No,No,Yes,
FY2024-25,2024-07-01,f5d29c5b-9983-499d-a6de-877b372cec71,Bubble,49.81,,Software,85,Section 8-1,49.81,Yes,No,60,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activitie,No,No,Yes,
FY2024-25,2024-09-18,4070470b-f64c-415b-ab06-bed9fdfe6c6e,Goggle One,2.49,,Software,70,Section 8-1 ITAA 1997 - general deduction,2.49,Yes,No,60,"The transaction description 'from Goggle One' does not provide any evidence of technical uncertainty, systematic investigation, generation of new know",No,No,Yes,
FY2023-24,2023-07-19,f1b1f400-e387-4fb3-89fd-df1aa1ea75af,Xero Australia Pty Ltd,81,,Software,95,Section 8-1 ITAA 1997 - general deduction,81,Yes,No,90,"The transaction description 'from Xero Australia Pty Ltd' does not contain any evidence of technical uncertainty, systematic investigation, generation",No,No,Yes,
FY2023-24,2023-08-29,e9e3982d-ee5e-4145-a001-f5d1df37cbf6,Go Daddy,309.8,,Software,85,Section 8-1 ITAA 1997 - general deduction,309.8,Yes,No,95,The transaction description 'from Go Daddy' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no i,No,No,Yes,Receipt from Go Daddy required to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a 
FY2023-24,2023-09-04,9dcaeaa9-a27d-4b4d-b8bd-020cbc61aa1e,Descript,844.02,,Software,70,Section 8-1 ITAA 1997 - general deduction,844.02,Yes,No,60,"The transaction description 'from Descript' lacks specific details indicating technical uncertainty, systematic investigation, generation of new knowl",No,No,Yes,
FY2023-24,2023-09-18,81385eb4-3916-4c6d-9792-98bf2db491ef,,2000,Bank Transfer to Westpac AU 034130305246.,Financial Transaction,90,N/A,0,No,No,5,The transaction description 'Bank Transfer to Westpac AU 034130305246' does not contain any information to suggest that it is related to R&D activitie,No,No,Yes,Requires documentation to determine the nature of the expense and its deductibility under s 8-1 ITAA 1997. The description 'Bank Transfer to Westpac AU 034130305246' is insufficient to determine deduc
FY2023-24,2023-09-19,0c8e4940-132f-4c73-b542-e643e35dc807,Xero,90,,Software,85,Section 8-1 ITAA 1997 - general deduction,90,Yes,No,95,The transaction description 'from Xero' and the line item description '' do not provide any evidence of R&D activities. There is no indication of tech,No,No,Yes,Receipt from Xero required to substantiate the expense. s 8-1 ITAA 1997 - general deduction
FY2023-24,2023-09-21,b73d72d1-c255-4311-8e44-83714b594b21,Go Daddy,454.37,,Software,85,Section 8-1 ITAA 1997 - general deduction,454.37,Yes,No,95,"The transaction description 'from Go Daddy' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowle",No,No,Yes,
FY2024-25,2024-09-04,0016f37f-86e7-4957-af89-cd8481d97e70,Descript,805.21,,Software,70,Section 8-1 ITAA 1997 - general deduction,805.21,Yes,No,60,The transaction description 'from Descript' does not provide sufficient information to determine if the activity meets the criteria for R&D under Divi,No,No,Yes,
FY2024-25,2024-07-10,cdbb83a5-56fb-4f7e-b947-3c6bbe19607a,HARBORSEO.AI DEERPARK IND IRL,1.66,International purchase,Software,70,Section 8-1 ITAA 1997 - general deduction,1.66,Yes,No,60,The transaction description 'from HARBORSEO.AI DEERPARK IND IRL - International purchase' and 'International purchase' lacks specific details indicati,No,No,Yes,Requires receipt to substantiate the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for t
FY2024-25,2024-09-13,55f25b5d-694e-4b79-af90-be37104fb0ae,Phil Woffle,4.98,INV-0023,Uncategorized,50,Section 8-1 ITAA 1997 - general deduction,4.98,Yes,No,5,The transaction description 'INV-0023' from 'Phil Woffle' does not contain any information to suggest that it is related to R&D activities. There is n,No,No,Yes,
FY2024-25,2024-07-01,3d71cd5a-8566-4ce4-a8c1-2a329f0f6a84,Bubble,49.81,,Software,80,Section 8-1,49.81,Yes,No,60,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activitie,No,No,Yes,
FY2024-25,2024-07-31,2780b2e7-ab5a-44e5-b7a7-b653a5639265,Bubble,50.5,,Software,70,Section 8-1 ITAA 1997 - general deduction,50.5,Yes,No,50,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activitie,No,No,Yes,
FY2024-25,2024-09-02,b22919d5-56da-4bf0-97f3-c7a752939135,Bubble,48.79,,Software,80,Section 8-1 ITAA 1997 - general deduction,48.79,Yes,No,60,The transaction description 'from Bubble' does not provide sufficient evidence to suggest that the expense relates to core or supporting R&D activitie,No,No,Yes,
FY2024-25,2024-09-10,f6712300-7559-4983-a495-2a8cd0041636,HARBORSEO.AI DEERPARK IND IRL,1129.68,International purchase,Professional Services,70,Section 8-1 ITAA 1997 - general deduction,1129.68,Yes,No,60,"The transaction description 'from HARBORSEO.AI DEERPARK IND IRL - International purchase' lacks specific details indicating technical uncertainty, sys",No,No,Yes,Requires invoice and proof of payment to substantiate the expense. s 8-1 ITAA 1997 - general deduction allows a deduction for losses and outgoings to the extent they are incurred in gaining or produci
FY2024-25,2024-07-08,70e3ce2b-4263-4ad1-a853-fc73e3bff6af,Synthesia,46.04,,Software,90,Section 8-1 ITAA 1997 - general deduction,46.04,Yes,No,60,The transaction description 'from Synthesia' does not provide any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no ,No,No,Yes,
