Financial Year,Date,Transaction ID,Supplier,Amount,Description,Category,Category Confidence,Deduction Type,Claimable Amount,Fully Deductible,R&D Candidate,R&D Confidence,R&D Reasoning,FBT Risk,Div7A Risk,Requires Documentation,Compliance Notes
FY2023-24,2024-06-11,23c7f8f0-1d68-488d-b5c4-4ca7f688f602,St George,833.39,Repayment,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,833.39,Yes,No,100,The transaction description 'Repayment' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no indic,No,No,Yes,Requires loan agreement and repayment schedule to verify deductibility of interest component. The principal repayment is not deductible. Only the interest component is deductible under s 8-1 ITAA 1997
FY2023-24,2023-07-20,be5a690b-4da9-4c3e-bb19-2c07317143e0,Optus,47.2,Optus mobile,Communication,95,Section 8-1 ITAA 1997 - general deduction,47.2,Yes,No,95,The transaction description 'Optus mobile' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no in,No,No,Yes,
FY2023-24,2023-09-21,d01d32eb-c071-4ff5-92bf-b1cb1f010745,Audible,23.97,Subscription,Professional Development,75,Section 8-1 ITAA 1997 - general deduction,23.97,Yes,No,60,"The transaction is for an 'Audible - Subscription'. There is no indication of technical uncertainty, systematic investigation, generation of new knowl",No,No,Yes,Deductible under s 8-1 ITAA 1997 if the subscription relates to the business's income-earning activities. Keep receipt as documentation.
FY2023-24,2023-11-21,c398a592-0fe4-466d-b1a3-61a92306cda7,Audible,23.87,Subscription,Professional Development,75,Section 8-1 ITAA 1997 - general deduction,23.87,Yes,No,95,"The transaction is for an 'Audible - Subscription'. There is no indication of R&D activity, technical uncertainty, systematic investigation, or genera",No,No,Yes,Deductible under s 8-1 ITAA 1997 if the subscription relates to the business's income-earning activities. Requires documentation to support the business purpose of the subscription.
FY2023-24,2023-09-11,7be69e7e-3d32-4e76-a487-27f2851c12a9,St George,833.39,Repayment,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,833.39,Yes,No,95,"The transaction is a loan repayment to St George. There is no indication of R&D activity based on the provided description. Therefore, it does not mee",No,No,Yes,Requires loan agreement to verify interest component. The interest component of the loan repayment is deductible under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income. The 
FY2023-24,2023-11-13,247efeef-7f96-406d-b393-debf8cdf9f09,St George,833.39,Repayment,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,833.39,Yes,No,90,"The transaction description 'Repayment' does not contain any information suggesting R&D activities. There is no indication of technical uncertainty, s",No,No,Yes,Documentation required to verify the loan purpose and terms. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a
FY2023-24,2024-01-16,e48e1273-f1a6-4149-9015-978ebca6d744,Mercedes Finance,1182.9,Repayment ,Finance,95,Section 8-1 ITAA 1997 - general deduction,1182.9,Yes,No,95,"The transaction relates to a 'Repayment' to 'Mercedes Finance'. There is no indication of R&D activity based on the provided information. Therefore, i",No,No,Yes,"Deductible via cents per km (85c/km max 5,000km) or logbook method; Requires loan agreement and amortization schedule to verify interest and principal components. Only the interest component is deduct"
FY2023-24,2024-01-29,fa84e676-d00d-44dc-98e8-fc53555b3bf7,Disaster Recovery QLD Pty Ltd,3447.95,Management fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,3447.95,Yes,No,90,"The transaction description 'Management fee' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowl",No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997.
FY2023-24,2024-02-09,31b73e9f-7007-4db8-b191-ec10c524911a,St George,1068.21,Loan Repayment ,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,90,The transaction description 'Loan Repayment' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no ,No,No,Yes,Documentation required to support the loan and its purpose to ensure deductibility under s 8-1 ITAA 1997. The expense is deductible to the extent it was incurred in gaining or producing assessable inc
FY2023-24,2023-11-10,1eb5df62-a87c-4fd3-978f-42b3cac07159,FEN Australia Pty Ltd,212.3,Fen paid accidently,Uncategorized,70,Section 8-1 ITAA 1997 - general deduction,0,No,No,50,"The transaction description 'Fen paid accidently' does not provide any evidence of R&D activities. There is no indication of technical uncertainty, sy",No,No,Yes,"Requires investigation to determine the nature of the accidental payment and whether it relates to business operations. If the payment is not related to business operations, it is not deductible under"
FY2023-24,2024-01-24,63474602-ba6e-45a0-8f3a-a3ef8df0285d,Disaster Recovery QLD,22453.11,Return payments received from FEN - noticed Phill transferred more than required,Financial Transaction,95,Not Applicable,0,No,No,95,The transaction relates to a return of funds. There is no indication of R&D activity based on the provided description. The description 'Return paymen,No,No,Yes,Documentation required to verify the original payment and the reason for the return of funds.
FY2023-24,2023-12-01,a4a1556e-835a-48c9-8e38-7ff1c621eac9,FEN Australia Pty Ltd,1007.71,Fen paid accidently,General Expenses,90,Section 8-1 ITAA 1997 - general deduction,0,No,No,5,"The transaction description 'Fen paid accidently' does not contain any evidence of technical uncertainty, systematic investigation, generation of new ",No,No,Yes,Requires documentation to determine the nature of the accidental payment and whether it relates to income-producing activities. If the payment was genuinely accidental and does not relate to income-pr
FY2023-24,2024-02-05,a0b74816-90f2-4871-8c38-8163a826ef9c,Disaster Recovery QLD,1245.21,Returning overpayment made by Phill,Refund,95,Not Applicable,0,No,No,95,"The transaction relates to a refund of an overpayment. There is no indication of R&D activity based on the transaction description. Therefore, it does",No,No,Yes,Requires documentation to verify the original overpayment and the refund. Ensure the refund is correctly accounted for to avoid double deduction of the original expense.
FY2023-24,2024-03-11,322ad722-48df-40d9-a268-f76385649ccc,St George,1068.21,Loan Repayment ,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,95,"The transaction relates to a 'Loan Repayment'. There is no indication of R&D activity based on the provided description. Therefore, it does not meet t",No,No,Yes,Requires loan agreement and repayment schedule to verify deductibility of interest component. The principal component of the loan repayment is not deductible.
FY2023-24,2024-03-21,b7502765-094b-498c-8fab-c3197f1700d0,Optus,51.2,Optus mobile,Communication,95,Section 8-1 ITAA 1997 - general deduction,51.2,Yes,No,90,"The transaction description 'Optus mobile' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowled",No,No,Yes,
FY2023-24,2024-01-02,84401791-ddd3-4db2-b078-1fd8dde70d5f,Westpac Bank,10,monthly fee,Financial Services,95,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,The transaction is a standard monthly bank fee. There is no indication of R&D activity based on the provided information. It does not meet the criteri,No,No,Yes,Maintain bank statements as evidence of the expense.
FY2023-24,2023-12-15,2fd91ebf-2278-477a-8e6d-ee20b8826c46,Mercedes Finance,1182.9,Repayment ,Finance,95,Section 8-1 ITAA 1997 - general deduction,1182.9,Yes,No,95,"The transaction is a repayment to Mercedes Finance. There is no indication of R&D activity based on the transaction description. Therefore, it does no",No,No,Yes,"Deductible via cents per km (85c/km max 5,000km) or logbook method"
FY2023-24,2023-08-21,f672ce9f-de0d-45a6-8f29-034fcb8d2594,Optus,47.2,Optus mobile,Telecommunications,95,Section 8-1 ITAA 1997 - general deduction,47.2,Yes,No,90,"The transaction description 'Optus mobile' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowled",No,No,Yes,
FY2023-24,2023-09-19,785de31a-72de-4902-a08c-49962a31f364,Optus,47.2,Optus mobile,Communication,95,Section 8-1 ITAA 1997 - general deduction,47.2,Yes,No,95,The transaction description 'Optus mobile' does not contain any information suggesting R&D activities. It appears to be a standard mobile phone bill. ,No,No,Yes,"Ensure the mobile phone is used primarily for business purposes to support the deduction under s 8-1 ITAA 1997. If there is private use, the deduction should be apportioned."
FY2023-24,2023-07-14,4101a4bd-a001-458c-970b-5de9d989fc32,Mercedes Finance,1182.9,Repayment ,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,1182.9,Yes,No,90,The transaction description 'Repayment' from 'Mercedes Finance' does not contain any information to suggest that it is related to R&D activities. Ther,No,No,Yes,
FY2023-24,2023-09-11,4504f544-8731-4cce-9cc4-c1ad67607b77,St George,1068.21,Loan Repayment ,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,95,The transaction description 'Loan Repayment' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no ,No,No,Yes,Documentation required to support the loan and its purpose to determine deductibility under s 8-1 ITAA 1997. The expense is deductible to the extent it was incurred in gaining or producing assessable 
FY2023-24,2024-01-22,d300b65b-0902-45dc-8258-804d4cf8b0ef,Optus,51.2,Optus mobile,Telecommunications,95,s 8-1 ITAA 1997 - general deduction,51.2,Yes,No,95,The transaction description 'Optus mobile' does not contain any information to suggest that it is related to R&D activities. There is no indication of,No,No,Yes,
FY2023-24,2024-02-01,270a8be1-1b59-4c10-998e-92ee280170e8,Westpac Bank,10,monthly fee,Bank Fees,95,Section 8-1 ITAA 1997 - general deduction,10,Yes,No,95,"The transaction is a standard 'monthly fee' from Westpac Bank. There is no indication of R&D activity, technical uncertainty, systematic investigation",No,No,Yes,
FY2023-24,2024-04-21,c6f6b5d4-9182-4f9b-931f-5978178c286f,Disaster Recovery QLD Pty Ltd,4558.63,April 2024 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4558.63,Yes,No,90,"The transaction is for a 'Management Fee' which does not indicate any R&D activity. There is no evidence of technical uncertainty, systematic investig",No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997.
FY2023-24,2024-05-21,471aefb9-4215-4984-9ea3-6f69f1b65c5b,Disaster Recovery QLD Pty Ltd,4558.63,May 2024 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4558.63,Yes,No,90,"The transaction is for a 'Management Fee' which does not inherently indicate R&D activities. There is no evidence of technical uncertainty, systematic",No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997.
FY2023-24,2023-08-21,abee5f50-52c4-42b3-a520-2ccc791261bc,Disaster Recovery QLD Pty Ltd,4949.66,August 2023 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4949.66,Yes,No,90,"The transaction is for 'August 2023 Management Fee' which does not indicate any R&D activity. There is no evidence of technical uncertainty, systemati",No,No,Yes,Ensure the management fee is commercially reasonable and at arm's length. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in 
FY2023-24,2023-11-21,739eba50-41a8-49e0-8095-05ae3ee3e143,Disaster Recovery QLD Pty Ltd,4558.63,November 2023 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4558.63,Yes,No,90,"The transaction description 'November 2023 Management Fee' does not contain any evidence of technical uncertainty, systematic investigation, generatio",No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997. The expense must be incurred in gaining or producing assessable income 
FY2023-24,2024-01-21,907123dd-e24f-4654-b18b-ec1f298da8e2,Disaster Recovery QLD Pty Ltd,4558.63,January 2024 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4558.63,Yes,No,90,The transaction description 'January 2024 Management Fee - from Disaster Recovery QLD Pty Ltd - January 2024 Mangement Fee' does not contain any evide,No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997. The expense must be incurred in gaining or producing assessable income 
FY2023-24,2023-07-21,210afa61-f693-42c5-a398-714a4829ed0f,Disaster Recovery QLD Pty Ltd,4949.66,July 2023 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4949.66,Yes,No,90,The transaction description 'July 2023 Management Fee - from Disaster Recovery QLD Pty Ltd - July 2023 Mangement Fee' does not contain any indication ,No,No,Yes,Ensure the management fee is commercially reasonable and at arm's length. Documentation should include the management agreement and evidence of services provided.
FY2023-24,2023-09-21,de2aa62e-1248-42be-ba5e-1f96fa43c4e2,Disaster Recovery QLD Pty Ltd,4949.66,September 2023 Mangement Fee,Professional Services,95,Section 8-1 ITAA 1997 - general deduction,4949.66,Yes,No,90,The transaction description 'September 2023 Management Fee' does not contain any indication of R&D activities as defined under Division 355 of ITAA 19,No,No,Yes,Ensure the management fee is commercially reasonable and properly documented to support its deductibility under s 8-1 ITAA 1997.
FY2022-23,2022-12-12,45e4bc36-d28e-42ca-a73c-afab9d853511,St George,833.39,Repayment,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,833.39,Yes,No,90,"The transaction is a loan repayment to St George. There is no indication of R&D activity based on the provided information. Therefore, it does not mee",No,No,Yes,Documentation required to support the loan agreement and repayment schedule. s 8-1 ITAA 1997 - general deduction: The repayment of a loan is generally deductible to the extent that the borrowed funds 
FY2022-23,2022-12-09,795be01c-0ba3-4653-b8de-75d334157575,St George,1068.21,Loan Repayment ,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,95,"The transaction is a loan repayment to St George. There is no indication of R&D activity based on the transaction description. Therefore, it does not ",No,No,Yes,Requires loan agreement and repayment schedule to verify the expense. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carr
FY2022-23,2023-02-09,6b9c319b-f12a-4f8b-ab72-d382cbc791fe,St George,1068.21,Loan Repayment ,Finance Costs,95,s 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,90,The transaction description 'Loan Repayment' does not contain any information to suggest that it is related to R&D activities. There is no indication ,No,No,Yes,Documentation required to support the loan agreement and repayment schedule. The deduction is allowable under s 8-1 ITAA 1997 as it is incurred in gaining or producing assessable income. The words 'Lo
FY2022-23,2022-12-20,d7f3ea31-afd0-4b5b-bc02-11367473b13f,Optus,47.2,Optus mobile,Telecommunications,95,Section 8-1 ITAA 1997 - general deduction,47.2,Yes,No,95,The transaction relates to a standard Optus mobile bill. There is no indication of R&D activity based on the provided information. The description 'Op,No,No,Yes,
FY2022-23,2022-11-21,d030857b-c86d-45a0-9276-aeae3304605a,Optus,47.2,Optus mobile,Telecommunications,95,Section 8-1 ITAA 1997 - general deduction,47.2,Yes,No,95,"The transaction description 'Optus mobile' does not contain any evidence of technical uncertainty, systematic investigation, generation of new knowled",No,No,Yes,
FY2022-23,2023-03-09,9555f0b7-5a9e-426a-9d7a-d7d8f79e30ac,St George,1068.21,Loan Repayment ,Finance Costs,95,s 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,95,The transaction description 'Loan Repayment' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no ,No,No,Yes,Requires loan agreement and repayment schedule to verify deductibility of interest component. The principal component of the loan repayment is not deductible.
FY2022-23,2023-02-27,9c601219-4150-431b-a034-98213789e87c,Metro,1059.71,Loan repayment,Loan Repayment,95,Not Deductible,0,No,No,90,The transaction description 'Loan repayment' does not contain any information suggesting R&D activities. There is no evidence of technical uncertainty,No,YES - REVIEW,Yes,"Loan repayments are generally not deductible. The deductibility of interest expenses related to the loan depends on the purpose of the loan. If the loan was used for income-producing activities, the i"
FY2022-23,2023-02-21,05bf58ce-4863-4c28-9c40-c31d79ac677d,Optus,47.2,Optus mobile,Telecommunications,95,Section 8-1 ITAA 1997 - general deduction,47.2,Yes,No,90,The transaction description 'Optus mobile' does not contain any information suggesting R&D activities. It appears to be a standard mobile phone bill. ,No,No,Yes,Receipt required for substantiation. s 8-1 ITAA 1997 allows a deduction for expenses incurred in gaining or producing assessable income or necessarily incurred in carrying on a business for that purpo
FY2022-23,2022-11-14,4b02436c-41d8-48f1-a7e9-88ba27d5428c,Westpac Bank,845,Principle,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,845,Yes,No,90,The transaction relates to a 'Principle' payment to Westpac Bank. This does not indicate any R&D activity as defined under Division 355 of the ITAA 19,No,No,Yes,"Requires loan agreement and bank statements to verify the principal payment and associated interest. The deductibility of the principal payment itself is not under s 8-1 ITAA 1997, but the interest co"
FY2022-23,2022-11-28,4cbaa686-5f68-4e67-a418-32c38d693a98,Westpac Bank,795.45,Principle,Finance Costs,95,Non-deductible,0,No,No,95,The transaction relates to a loan principle repayment. There is no indication of R&D activity based on the description 'Principle' from Westpac Bank. ,No,No,Yes,Loan principal repayments are generally not deductible under s 8-1 ITAA 1997 because they are considered capital in nature. Interest payments on the loan may be deductible if the loan is used for inco
FY2022-23,2022-12-16,8c14a396-cfb7-437e-8320-ed031f1f013c,"PAYMENT BY AUTHORITY TO MERCEDES-BENZ FINANCIAL SERVICES AUSTRALMB Financial,CONTRACT 461644",1182.9,Repayment ,Finance,95,Section 8-1 ITAA 1997 - general deduction,1182.9,Yes,No,90,The transaction relates to a repayment under a finance contract for a motor vehicle. There is no indication of R&D activity based on the transaction d,No,No,Yes,"Deductible via cents per km (85c/km max 5,000km) or logbook method; Requires logbook or other evidence to substantiate business use percentage. s 8-1 ITAA 1997 allows a deduction for expenses incurred"
FY2022-23,2022-12-29,48b11d23-f9b6-4e6f-ae69-a773750e60cc,Westpac Bank,795.45,Principle,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,795.45,Yes,No,95,"The transaction relates to a 'Principle' payment to Westpac Bank. This does not indicate any R&D activity. Therefore, it does not meet the criteria fo",No,No,Yes,Requires documentation to support the loan and its purpose to ensure deductibility under s 8-1 ITAA 1997. The expense is deductible to the extent it was incurred in gaining or producing assessable inc
FY2022-23,2022-09-12,411dbb75-27d6-49cf-b0b7-45c34c882679,WESTPAC BANKING CORPORATION,679.91,Principle,Finance Costs,95,Non-deductible,0,No,No,95,"The transaction relates to a loan principle repayment to Westpac. There is no indication of R&D activity based on the provided description. Therefore,",No,No,Yes,Loan agreement required for verification. Principal repayments are generally not deductible under s 8-1 ITAA 1997 as they are considered capital in nature.
FY2022-23,2022-08-15,f887bb0b-5922-41f7-8cf8-a495fbb5b0b7,Westpac Bank,845,Principle,Finance Costs,95,Not Deductible,0,No,No,95,"The transaction relates to a 'Principle' payment to Westpac Bank. There is no indication of R&D activity based on the provided information. Therefore,",No,No,Yes,"Principal repayments are generally not deductible under s 8-1 ITAA 1997 as they are considered capital in nature. Interest payments may be deductible, but this transaction is for 'Principle'."
FY2022-23,2022-08-15,07a233b4-0ffb-47b2-8bb8-a5499bd63d82,WESTPAC BANKING CORPORATION,679.91,Principle,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,679.91,Yes,No,90,The transaction relates to a 'Principle' payment to Westpac Banking Corporation. There is no indication of R&D activity based on the provided descript,No,No,Yes,Requires loan agreement and repayment schedule to verify deductibility under s 8-1 ITAA 1997. The expense is deductible to the extent it is incurred in gaining or producing assessable income or is nec
FY2022-23,2022-08-29,11c549a1-f927-48ec-a7d7-c99660cf5bdc,Westpac Bank,795.45,Principle,Finance Costs,95,Section 8-1 ITAA 1997,795.45,Yes,No,5,"The transaction relates to a 'Principle' payment to Westpac Bank. There is no indication of R&D activity based on the provided information. Therefore,",No,No,Yes,Requires loan agreement and bank statements to verify the principal payment. s 8-1 ITAA 1997 - general deduction: This expense is deductible as it relates to the business operations of Disaster Recove
FY2022-23,2022-10-12,40b605f0-3384-4ed8-9ee5-c4348316aa60,WESTPAC BANKING CORPORATION,679.91,Principle,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,679.91,Yes,No,95,The transaction description 'Principle' from WESTPAC BANKING CORPORATION does not provide any evidence of R&D activities. It appears to be a standard ,No,No,Yes,Requires documentation to support the loan and its purpose to ensure deductibility under s 8-1 ITAA 1997.
FY2022-23,2022-10-17,e77d3155-3f07-40d4-9d0f-e71ea878de5d,Westpac Bank,845,Principle,Finance Costs,95,Not Deductible,0,No,No,95,The transaction relates to a 'Principle' payment to Westpac Bank. This does not indicate any R&D activity. It is a standard loan repayment and does no,No,No,Yes,Requires loan agreement for verification.
FY2022-23,2022-08-23,2d2f4618-415d-46c0-9ced-e32bca3c18db,ASIC,276,ASIC,Regulatory Fees,95,Section 8-1 ITAA 1997 - general deduction,276,Yes,No,95,"The transaction relates to a payment to ASIC. There is no indication of R&D activity based on the provided information. Therefore, it does not meet th",No,No,Yes,Receipt from ASIC should be retained as documentation.; s 8-1 ITAA 1997 - general deduction: This expense is deductible as it is incurred in gaining or producing assessable income or is necessarily in
FY2022-23,2022-11-07,47f98140-a759-432a-8d95-24e777855a62,WESTPAC BANKING CORPORATION,857.48,Principle,Finance Costs,95,Section 8-1 ITAA 1997 - general deduction,857.48,Yes,No,100,The transaction relates to a 'Principle' payment to WESTPAC BANKING CORPORATION. There is no indication of R&D activity based on the provided informat,No,No,Yes,Requires loan agreement and repayment schedule to verify deductibility under s 8-1 ITAA 1997. The expense is deductible because it is incurred in gaining or producing assessable income or necessarily 
FY2022-23,2023-01-11,91ea82e7-5c74-457f-9b50-cb831b2124d3,St George,833.39,Repayment,Finance Costs,95,s 8-1 ITAA 1997 - general deduction,0,No,No,95,The transaction description 'Repayment' does not contain any evidence of R&D activities as defined in Division 355 of the ITAA 1997. There is no indic,No,No,Yes,Loan repayments are generally not deductible as they are considered capital in nature. Interest component may be deductible under s 8-1 ITAA 1997 if the loan was used for income-producing purposes. Ne
FY2022-23,2022-08-16,1156aa57-8e54-4a3c-aa3d-4bf82bc92ce5,"PAYMENT BY AUTHORITY TO MERCEDES-BENZ FINANCIAL SERVICES AUSTRALMB Financial,CONTRACT 461644",1182.9,Repayment ,Finance Costs,95,s 8-1 ITAA 1997 - general deduction,1182.9,Yes,No,100,"The transaction description indicates a repayment to Mercedes-Benz Financial Services for a contract. There is no evidence of R&D activity, technical ",No,No,Yes,"Deductible via cents per km (85c/km max 5,000km) or logbook method"
FY2022-23,2022-09-07,7375869d-d43f-4d40-845e-7c1a534b26c8,WESTPAC BANKING CORPORATION,857.48,Principle,Finance Costs,95,Non-deductible,0,No,No,95,"The transaction relates to a loan principle repayment. There is no indication of R&D activity based on the provided description. Therefore, it does no",No,No,Yes,Loan principal repayments are generally not deductible for tax purposes. The expense is of a capital nature and therefore not deductible under s 8-1 ITAA 1997. Documentation such as loan agreements sh
FY2022-23,2022-07-11,0f6c22f2-d515-4b39-adb5-e05b1602c197,St George,1068.21,Loan Repayment ,Finance Costs,95,s 8-1 ITAA 1997 - general deduction,1068.21,Yes,No,95,"The transaction is a loan repayment to St George. There is no indication of R&D activity based on the provided information. Therefore, it does not mee",No,No,Yes,Requires loan agreement and repayment schedule to verify deductibility of interest component. The principal component of the loan repayment is not deductible.
FY2022-23,2022-07-21,65409ae2-1c7a-4bf0-9c59-dc4f6d0dc9f4,Westpac Bank,561,Principle payment,Finance Costs,95,Non-deductible,0,No,No,100,The transaction description 'Principle payment' does not contain any evidence of R&D activities as defined under Division 355 of ITAA 1997. There is n,No,No,Yes,Principle payments are generally not deductible as they are considered capital in nature. Interest payments may be deductible under s 8-1 ITAA 1997 if the loan is used for income-producing purposes. D
